Beatdown,Cycle/Control Rápido,Asedio (Siege),Bridge Spam,Control Lento,Otros/Híbridos,ds
0.2455,0.3755,0.0415,0.12,0.058,0.1595,2020-12-27 19:01:19
0.218,0.3635,0.046,0.134,0.049,0.1895,2020-12-27 20:13:21
0.221,0.394,0.0505,0.1185,0.042,0.174,2020-12-27 20:45:35
0.2345,0.406,0.034,0.112,0.042,0.1715,2020-12-27 21:16:41
0.215,0.3915,0.0505,0.116,0.044,0.183,2020-12-27 21:46:46
0.1875,0.417,0.0295,0.125,0.032,0.209,2020-12-27 22:10:06
0.1745,0.4045,0.0355,0.1205,0.0245,0.2405,2020-12-27 22:20:28
0.191,0.403,0.028,0.121,0.025,0.232,2020-12-27 22:27:32
0.181,0.4095,0.029,0.113,0.0225,0.245,2020-12-27 22:33:13
0.1865,0.405,0.033,0.112,0.0215,0.242,2020-12-27 22:38:12
0.166,0.427,0.0275,0.1235,0.016,0.24,2020-12-27 22:42:18
0.1855,0.4035,0.0285,0.108,0.0275,0.247,2020-12-27 22:45:56
0.173,0.406,0.0305,0.1125,0.03,0.248,2020-12-27 22:49:36
0.1715,0.418,0.029,0.1135,0.0245,0.2435,2020-12-27 22:52:58
0.162,0.4145,0.03,0.111,0.0315,0.251,2020-12-27 22:56:08
0.1665,0.401,0.0285,0.116,0.0295,0.2585,2020-12-27 22:59:08
0.1715,0.4165,0.027,0.117,0.023,0.245,2020-12-27 23:02:00
0.166,0.407,0.0205,0.118,0.0275,0.261,2020-12-27 23:04:49
0.1685,0.4205,0.0215,0.1155,0.0245,0.2495,2020-12-27 23:07:23
0.1715,0.429,0.028,0.113,0.028,0.2305,2020-12-27 23:09:56
0.167,0.419,0.0215,0.1145,0.0245,0.2535,2020-12-27 23:12:21
0.1605,0.4175,0.0275,0.1175,0.0305,0.2465,2020-12-27 23:14:39
0.1795,0.4155,0.0275,0.115,0.022,0.2405,2020-12-27 23:17:02
0.1795,0.3975,0.0265,0.1255,0.022,0.249,2020-12-27 23:19:12
0.165,0.402,0.0285,0.1145,0.032,0.258,2020-12-27 23:21:18
0.1665,0.4115,0.025,0.1225,0.024,0.2505,2020-12-27 23:23:30
0.1635,0.3995,0.0315,0.1225,0.027,0.256,2020-12-27 23:25:25
0.163,0.406,0.0285,0.116,0.0275,0.259,2020-12-27 23:27:19
0.161,0.418,0.0305,0.122,0.0225,0.246,2020-12-27 23:29:17
0.167,0.41,0.0245,0.1195,0.018,0.261,2020-12-27 23:31:12
0.1755,0.408,0.033,0.119,0.0245,0.24,2020-12-27 23:33:09
0.1845,0.3815,0.022,0.1135,0.0275,0.271,2020-12-27 23:34:56
0.1825,0.411,0.0245,0.1045,0.0245,0.253,2020-12-27 23:36:45
0.174,0.4265,0.027,0.1105,0.0195,0.2425,2020-12-27 23:38:31
0.172,0.408,0.0275,0.107,0.0215,0.264,2020-12-27 23:40:11
0.1885,0.42,0.0255,0.1155,0.015,0.2355,2020-12-27 23:42:00
0.1695,0.4205,0.0225,0.1115,0.0265,0.2495,2020-12-27 23:43:42
0.1675,0.4065,0.029,0.1185,0.025,0.2535,2020-12-27 23:45:25
0.164,0.393,0.029,0.125,0.0205,0.2685,2020-12-27 23:47:00
0.1705,0.43,0.0305,0.1095,0.0215,0.238,2020-12-27 23:48:44
0.1675,0.4025,0.0265,0.113,0.0235,0.267,2020-12-27 23:50:15
0.182,0.402,0.0255,0.1125,0.0265,0.2515,2020-12-27 23:51:48
0.175,0.395,0.032,0.106,0.024,0.268,2020-12-27 23:53:20
0.1685,0.403,0.022,0.1145,0.026,0.266,2020-12-27 23:54:48
0.168,0.404,0.0225,0.1235,0.02,0.262,2020-12-27 23:56:22
0.1735,0.411,0.0235,0.122,0.03,0.24,2020-12-27 23:57:51
0.181,0.3965,0.027,0.112,0.021,0.2625,2020-12-27 23:59:19
0.1665,0.4265,0.0255,0.1045,0.026,0.251,2020-12-28 00:00:45
0.165,0.414,0.033,0.1235,0.0285,0.236,2020-12-28 00:02:06
0.162,0.421,0.027,0.1145,0.0285,0.247,2020-12-28 00:03:34
